id;nome;cpf;cargo;tipo_plano
f47ac10b-58cc-4372-a567-0e02b2c3d479;Ana;123.456.789-01;JUNIOR;PREMIUM
bfec356e-f7fb-4aef-9f2a-eaef331b2a2b;Bruno;234.567.890-12;PLENO;PLUS_PREMIUM
c56a4180-65aa-42ec-a945-5fd21dec0538;Carlos;345.678.901-23;SENIOR;FREE
d4ee26ee-8cf0-11bd-b23e-10b96e4ef00d;Diana;456.789.012-34;SCRUM_MASTER;PREMIUM
aeb6bc72-c9b7-4a22-8b2b-42e3b67929d6;Eduardo;567.890.123-45;PRODUCT_OWNER;PLUS_PREMIUM
5f2f70a4-8bc5-477a-83a3-e6b20b5a7644;Fernanda;678.901.234-56;JUNIOR;FREE
2d946c9a-5a83-434a-89b2-6c74a9c2eed9;Gabriel;789.012.345-67;PLENO;PREMIUM
623a5cf1-33f7-4de9-9c04-e1f4ebb0a01e;Helena;890.123.456-78;SENIOR;PLUS_PREMIUM
cb2f9a0c-a487-4db4-945b-34c2aa6c9ec0;Igor;901.234.567-89;SCRUM_MASTER;FREE
bb60b72e-2ec8-4c88-8c0a-6a8a3c3d5e4d;Julia;012.345.678-90;PRODUCT_OWNER;PREMIUM
